Price per m2 (dollars);LCI
58,03;0,784188624
57,032;0,784188624
56,608;0,784188624
57,595;0,784188624
56,146;0,784188624
52,688;0,784188624
63,261;0,784188624
65,104;0,784188624
56,451;0,784188624
57,295;0,784188624
57,458;0,784188624
57,126;0,784188624
63,989;0,842950204
62,018;0,842950204
62,671;0,842950204
61,83;0,842950204
58,993;0,842950204
60,247;0,842950204
63,985;0,842950204
59,092;0,842950204
64,981;0,845016786
273,701;0,816389765
80,269;0,855835458
80,223;0,855835458
56,249;0,855835458
130,658;0,855835458
53,172;0,855835458
90,745;0,855835458
57,846;0,855835458
122,777;0,842950204
64,892;0,842950204
55,792;0,842950204
29,14;0,842950204
29,358;0,842950204
53,88;0,842950204
54,324;0,842950204
60,066;0,842950204
61,73;0,842950204
59,115;0,842950204
62,906;0,842950204
63,913;0,842950204
58,358;0,842950204
49,239;0,842950204
20,828;0,784188624
39,047;0,784188624
53,715;0,784188624
37,299;0,784188624
50,397;0,784188624
24,897;0,784188624
49,218;0,784188624
50,129;0,784188624
50,009;0,784188624
55,336;0,842950204
63,373;0,842950204
68,062;0,842950204
77,777;0,842950204
57,754;0,842950204
56,161;0,842950204
55,205;0,842950204
55,989;0,842950204
57,653;0,842950204
141,095;0,842950204
53,89;0,842950204
55,163;0,842950204
54,42;0,842950204
51,944;0,842950204
66,331;0,842950204
50,882;0,842950204
57,008;0,842950204
57,01;0,842950204
57,01;0,842950204
57,011;0,842950204
158,838;0,776172235
91,413;0,88140191
131,109;0,797356653
59,914;0,797356653
141,284;0,756601227
68,174;0,756601227
307,035;0,781800663
59,648;0,718400496
71,238;0,712205001
84,581;0,712205001
49,998;0,712205001
50,009;0,712205001
50,008;0,712205001
105,652;0,818419731
98,39;0,818419731
199,659;0,836002334
142,97;0,836002334
82,701;0,87127552
90,515;0,87127552
133,231;0,876347697
170,067;0,876347697
85,917;0,855835458
271,934;0,861481189
78,013;0,861481189
90,778;0,861481189
81,495;0,762043338
32,118;0,762043338
30,985;0,784188624
29,963;0,784188624
27,418;0,784188624
25,655;0,784188624
35,13;0,784188624
30,524;0,784188624
30,565;0,784188624
30,542;0,784188624
31,134;0,784188624
60,076;0,820786297
276,778;0,820786297
57,004;0,818087681
52,812;0,818087681
78,436;0,863351442
72,213;0,863351442
153,291;0,823170821
51,266;0,720551098
7,467;0,720551098
59,197;0,772504298
5,076;0,772504298
91,207;0,772504298
59,339;0,720551098
55,782;0,720551098
55,668;0,720551098
56,604;0,720551098
47,594;0,720551098
55,162;0,720551098
47,325;0,720551098
50,289;0,720551098
48,145;0,720551098
55,283;0,720551098
41,946;0,729111524
56,583;0,729111524
49,754;0,729111524
48,648;0,729111524
4,664;0,63056504
5,657;0,63056504
6,608;0,707701891
58,394;0,702558214
26,095;0,702558214
30,008;0,63056504
54,99;0,722545878
38,411;0,722545878
24,899;0,722545878
49,703;0,722545878
49,714;0,722545878
50,021;0,722545878
49,708;0,722545878
49,709;0,722545878
49,955;0,722545878
49,758;0,722545878
30,804;0,722545878
49,708;0,722545878
49,708;0,722545878
49,87;0,722545878
49,652;0,722545878
49,784;0,722545878
49,806;0,722545878
49,717;0,722545878
49,717;0,722545878
49,717;0,722545878
49,709;0,722545878
49,708;0,722545878
49,708;0,722545878
49,708;0,722545878
49,708;0,722545878
49,86;0,722545878
49,709;0,722545878
49,709;0,722545878
49,677;0,722545878
49,646;0,722545878
49,633;0,722545878
49,707;0,722545878
49,711;0,722545878
49,708;0,722545878
48,643;0,805880177
50,31;0,805880177
51,125;0,805880177
30,829;0,805880177
165,21;0,805880177
54,699;0,805880177
49,757;0,805880177
48,865;0,805880177
51,45;0,805880177
26,79;0,805880177
12,602;0,805880177
24,456;0,73609244
24,133;0,73609244
24,283;0,73609244
21,978;0,73609244
23,717;0,73609244
8,494;0,637182249
297,71;0,637182249
146,78;0,73609244
62,685;0,826492304
47,364;0,73609244
50,361;0,73609244
31,163;0,73609244
49,206;0,73609244
48,96;0,73609244
48,565;0,73609244
48,48;0,73609244
4,938;0,73609244
24,51;0,702558214
15,142;0,702558214
13,961;0,702558214
12,653;0,702558214
35,654;0,584307833
31,87;0,584307833
30,949;0,584307833
36,418;0,57795776
5,267;0,57795776
35,645;0,57795776
332,215;0,57795776
36,472;0,57795776
36,458;0,57795776
36,405;0,57795776
36,457;0,57795776
36,41;0,57795776
43,828;0,584307833
36,914;0,584307833
36,412;0,584307833
36,395;0,584307833
36,405;0,584307833
36,39;0,584307833
37,978;0,584307833
30,96;0,590633635
36,42;0,590633635
36,42;0,590633635
36,371;0,590633635
36,4;0,590633635
36,408;0,590633635
36,28;0,590633635
39,073;0,590633635
36,406;0,590633635
36,953;0,590633635
36,406;0,590633635
36,405;0,590633635
36,431;0,590633635
37,106;0,590633635
36,78;0,590633635
35,475;0,590633635
35,762;0,590633635
32,269;0,57795776
39,699;0,57795776
36,376;0,57795776
39,276;0,57795776
33,098;0,57795776
34,024;0,57795776
41,011;0,57795776
33,466;0,57795776
34,967;0,57795776
22,118;0,57795776
36,441;0,57795776
36,585;0,57795776
34,841;0,57795776
34,691;0,57795776
36,242;0,57795776
36,007;0,590633635
36,771;0,590633635
24,898;0,558864423
3,148;0,558864423
7,371;0,558864423
33,769;0,558864423
14,091;0,558864423
13,556;0,558864423
13,918;0,558864423
9,031;0,63056504
106,12;0,798248541
77,383;0,842864807
145,36;0,8367476
158,287;0,842864807
376,088;0,8367476
65,561;0,8367476
338,97;0,798248541
144,291;0,798248541
100,279;0,893067026
576,502;0,893067026
157,197;0,909170759
90,707;0,87384356
117,978;0,855866093
264,112;0,88019712
